epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2088,1.09646,4.27707,1.19626,0.77465,0.6307,0.64427,0.50555,1.65239,3.55751,1.16394,0.000263704,0.000263704,0.00696741
2,32.6778,0.97899,2.21857,1.10678,0.82081,0.64677,0.66589,0.53328,1.62404,3.23952,1.11803,0.000530351,0.000530351,0.00390072
3,45.853,0.9312,1.92018,1.07416,0.7945,0.66972,0.66734,0.53043,1.60089,3.24537,1.15173,0.000796922,0.000796922,0.000833959
4,58.2886,0.92264,1.87546,1.07376,0.8666,0.67734,0.69867,0.55341,1.61457,2.73496,1.11978,0.00079974,0.00079974,0.00079974
5,72.0322,0.90444,1.76192,1.06155,0.87598,0.67984,0.69914,0.55982,1.52085,2.65087,1.09727,0.000799538,0.000799538,0.000799538
6,85.3286,0.89751,1.70534,1.05763,0.82263,0.6987,0.70069,0.56606,1.5011,2.70646,1.09296,0.000799278,0.000799278,0.000799278
7,97.8867,0.87907,1.64279,1.04706,0.85686,0.68727,0.7079,0.57149,1.48966,2.51393,1.05988,0.00079896,0.00079896,0.00079896
8,112.058,0.86366,1.56907,1.03267,0.85898,0.70202,0.71157,0.57735,1.48521,2.68722,1.05315,0.000798584,0.000798584,0.000798584
9,125.051,0.83579,1.51764,1.02854,0.862,0.69911,0.71435,0.58861,1.45069,2.45239,1.04428,0.000798151,0.000798151,0.000798151
10,137.741,0.83823,1.50332,1.02341,0.84032,0.69621,0.71185,0.5868,1.49279,2.43439,1.02703,0.000797661,0.000797661,0.000797661
11,150.088,0.81651,1.45763,1.01598,0.83611,0.67716,0.69742,0.58412,1.50205,2.66548,1.04605,0.000797113,0.000797113,0.000797113
12,162.95,0.81353,1.41246,1.01381,0.8774,0.70174,0.71948,0.59923,1.4211,2.3173,1.03029,0.000796507,0.000796507,0.000796507
13,175.607,0.82087,1.4309,1.0149,0.87532,0.70107,0.71589,0.5937,1.47079,2.39235,1.0393,0.000795845,0.000795845,0.000795845
14,188.675,0.81689,1.43615,1.01171,0.88848,0.69253,0.71745,0.60399,1.42334,2.26761,1.0279,0.000795125,0.000795125,0.000795125
15,201.943,0.80066,1.39607,1.00786,0.874,0.70752,0.726,0.60466,1.39658,2.2614,1.02113,0.000794348,0.000794348,0.000794348
16,216.074,0.79254,1.36293,1.00238,0.88621,0.69047,0.71155,0.60013,1.40972,3.122,1.0178,0.000793513,0.000793513,0.000793513
17,229.075,0.80569,1.37476,0.99923,0.87118,0.7074,0.72522,0.60793,1.46699,2.30458,1.0418,0.000792623,0.000792623,0.000792623
18,240.678,0.78113,1.35269,0.99706,0.86173,0.70083,0.72366,0.61422,1.38013,2.22513,1.00475,0.000791675,0.000791675,0.000791675
19,253.796,0.75587,1.2885,0.98698,0.8761,0.7104,0.72226,0.60541,1.37425,2.31298,1.023,0.000790671,0.000790671,0.000790671
20,266.704,0.76916,1.29009,0.98568,0.86638,0.70255,0.72596,0.61064,1.39049,2.24615,1.01265,0.00078961,0.00078961,0.00078961
21,279.145,0.76766,1.29652,0.99023,0.89225,0.70722,0.72917,0.61457,1.40187,2.18293,0.99883,0.000788493,0.000788493,0.000788493
22,292.919,0.75566,1.27303,0.98345,0.8988,0.69595,0.72725,0.61334,1.37349,2.24231,1.01895,0.00078732,0.00078732,0.00078732
23,306.901,0.75768,1.26833,0.98366,0.89576,0.70815,0.7207,0.6152,1.33755,2.31434,1.00982,0.000786091,0.000786091,0.000786091
24,320.784,0.76307,1.27799,0.98585,0.86981,0.71913,0.72599,0.61243,1.37011,2.20423,1.02219,0.000784806,0.000784806,0.000784806
25,335.397,0.75182,1.27159,0.97908,0.8791,0.70703,0.72721,0.6188,1.34627,2.15595,0.99155,0.000783465,0.000783465,0.000783465
26,350.024,0.74336,1.24337,0.97041,0.85372,0.7177,0.72882,0.61733,1.37067,2.2144,0.99468,0.000782069,0.000782069,0.000782069
27,363.16,0.7559,1.2533,0.97927,0.83104,0.68662,0.70316,0.59603,1.34884,2.3286,1.00788,0.000780618,0.000780618,0.000780618
28,376.666,0.74123,1.24229,0.97871,0.89327,0.6995,0.72439,0.61178,1.38908,2.28246,1.00617,0.000779112,0.000779112,0.000779112
29,389.072,0.75652,1.25003,0.97729,0.85747,0.71507,0.72712,0.61892,1.34089,2.62983,1.00992,0.000777551,0.000777551,0.000777551
30,403.069,0.73708,1.21457,0.97923,0.87914,0.72099,0.73178,0.61984,1.39986,2.14183,0.98882,0.000775936,0.000775936,0.000775936
31,416.123,0.71805,1.20288,0.9633,0.90915,0.70874,0.7314,0.62193,1.36514,2.21868,0.99264,0.000774266,0.000774266,0.000774266
32,428.879,0.73881,1.22217,0.97162,0.89821,0.70623,0.73368,0.62216,1.34376,2.12016,0.98734,0.000772543,0.000772543,0.000772543
33,441.272,0.72411,1.19769,0.967,0.89018,0.70696,0.72492,0.61761,1.32475,2.11269,0.98273,0.000770765,0.000770765,0.000770765
34,455.202,0.72883,1.19257,0.96183,0.88009,0.70835,0.72526,0.61872,1.36697,2.1616,1.00074,0.000768934,0.000768934,0.000768934
35,467.704,0.74463,1.20581,0.97057,0.86366,0.71217,0.7299,0.63063,1.31067,2.084,0.97883,0.00076705,0.00076705,0.00076705
36,479.812,0.71829,1.19634,0.96312,0.88515,0.71763,0.72943,0.62562,1.34178,2.11679,0.98755,0.000765112,0.000765112,0.000765112
37,492.896,0.70937,1.1583,0.95708,0.90057,0.70768,0.73539,0.62971,1.30595,2.0797,0.97944,0.000763122,0.000763122,0.000763122
38,505.973,0.71376,1.16972,0.96621,0.87847,0.71177,0.73048,0.62376,1.34037,2.09742,0.9966,0.00076108,0.00076108,0.00076108
39,518.272,0.7229,1.1719,0.9658,0.90086,0.71849,0.73463,0.63144,1.30819,2.04681,0.97655,0.000758985,0.000758985,0.000758985
40,531.503,0.70359,1.15896,0.96157,0.88901,0.72126,0.73388,0.63285,1.29968,2.04888,0.97965,0.000756839,0.000756839,0.000756839
41,543.004,0.70604,1.15881,0.95796,0.91811,0.71599,0.73884,0.63138,1.33297,2.08845,0.97187,0.000754641,0.000754641,0.000754641
42,556.47,0.7221,1.17387,0.96503,0.89699,0.71949,0.73851,0.6302,1.30385,2.0428,0.97633,0.000752391,0.000752391,0.000752391
43,569.151,0.71721,1.16837,0.96137,0.89109,0.71424,0.73662,0.6322,1.29846,2.24631,0.98145,0.000750091,0.000750091,0.000750091
44,582.398,0.70978,1.14475,0.96712,0.92484,0.7117,0.7386,0.63638,1.32228,2.04544,0.97585,0.000747741,0.000747741,0.000747741
45,595.975,0.70653,1.12524,0.96142,0.90395,0.72638,0.74026,0.63132,1.31731,1.99997,0.98061,0.00074534,0.00074534,0.00074534
46,608.977,0.69783,1.12446,0.95678,0.88969,0.72205,0.73727,0.63559,1.27679,2.0617,0.97074,0.000742889,0.000742889,0.000742889
47,621.202,0.7007,1.14046,0.95718,0.89643,0.71981,0.73503,0.62992,1.31739,2.04526,0.97541,0.000740389,0.000740389,0.000740389
48,634.815,0.67736,1.09416,0.95005,0.89031,0.72811,0.74177,0.64,1.27464,1.9785,0.97038,0.00073784,0.00073784,0.00073784
49,647.257,0.6903,1.10336,0.9558,0.91305,0.72507,0.74587,0.63777,1.26859,2.06421,0.96967,0.000735242,0.000735242,0.000735242
50,659.894,0.69717,1.10818,0.95576,0.90075,0.72847,0.74728,0.63845,1.29446,1.98978,0.96365,0.000732596,0.000732596,0.000732596
51,672.619,0.69112,1.11349,0.9512,0.8778,0.72586,0.73876,0.63548,1.29606,2.09487,0.97582,0.000729902,0.000729902,0.000729902
52,685.614,0.68595,1.09463,0.94871,0.89539,0.72679,0.7457,0.64218,1.29219,2.07855,0.96223,0.00072716,0.00072716,0.00072716
53,698.188,0.6915,1.08625,0.95283,0.90904,0.72548,0.74574,0.6465,1.24885,1.99342,0.95733,0.000724371,0.000724371,0.000724371
54,711.072,0.67788,1.08011,0.94579,0.88874,0.73215,0.73732,0.63683,1.25568,2.0167,0.96482,0.000721535,0.000721535,0.000721535
55,723.39,0.69313,1.11437,0.95693,0.91497,0.72037,0.74653,0.64215,1.2622,1.96726,0.96072,0.000718653,0.000718653,0.000718653
56,737.567,0.69636,1.10082,0.95142,0.90704,0.72798,0.74779,0.64363,1.26037,1.93375,0.96635,0.000715725,0.000715725,0.000715725
57,749.398,0.68877,1.08983,0.95177,0.8964,0.72904,0.74605,0.64637,1.29402,1.94636,0.98184,0.000712751,0.000712751,0.000712751
58,762.231,0.68486,1.10054,0.94522,0.90653,0.72161,0.74261,0.63748,1.28285,2.00167,0.9563,0.000709732,0.000709732,0.000709732
59,774.659,0.68628,1.08356,0.94866,0.91236,0.72378,0.74144,0.64376,1.23725,1.90667,0.95503,0.000706669,0.000706669,0.000706669
60,788.317,0.67666,1.0637,0.95025,0.90235,0.72269,0.73738,0.64034,1.29058,2.01407,0.95598,0.000703562,0.000703562,0.000703562
61,800.231,0.67034,1.06515,0.9452,0.89275,0.72909,0.74371,0.64586,1.27107,1.97773,0.95813,0.00070041,0.00070041,0.00070041
62,812.797,0.67927,1.08621,0.95356,0.90776,0.72522,0.74102,0.64004,1.25211,1.96948,0.95719,0.000697216,0.000697216,0.000697216
63,826.007,0.67102,1.04898,0.94083,0.90051,0.73299,0.74216,0.64945,1.25037,1.91057,0.95287,0.000693978,0.000693978,0.000693978
64,839.025,0.68548,1.09215,0.95201,0.89547,0.72972,0.74266,0.64254,1.27528,1.94681,0.95091,0.000690699,0.000690699,0.000690699
65,851.861,0.66597,1.04559,0.94767,0.90191,0.72725,0.74136,0.64716,1.27001,1.96009,0.95038,0.000687377,0.000687377,0.000687377
66,864.712,0.67111,1.06672,0.94312,0.89814,0.73449,0.7458,0.6434,1.28119,1.92924,0.9515,0.000684014,0.000684014,0.000684014
67,877.217,0.66998,1.04836,0.94612,0.89998,0.72034,0.74326,0.64458,1.25729,1.9197,0.94773,0.000680611,0.000680611,0.000680611
68,890.971,0.66929,1.05989,0.93794,0.89757,0.73302,0.74324,0.64466,1.23776,1.95137,0.95816,0.000677166,0.000677166,0.000677166
69,902.996,0.66937,1.04845,0.94291,0.91697,0.73127,0.75117,0.65604,1.21128,1.85491,0.93842,0.000673682,0.000673682,0.000673682
70,914.947,0.65095,1.00982,0.93618,0.90309,0.73158,0.74529,0.65086,1.24387,1.88683,0.94622,0.000670159,0.000670159,0.000670159
71,927.622,0.66503,1.04129,0.94175,0.90202,0.72527,0.74387,0.64735,1.25227,1.93433,0.95158,0.000666597,0.000666597,0.000666597
72,941.87,0.64683,1.02573,0.93393,0.90501,0.73497,0.74938,0.6536,1.23579,1.81494,0.9515,0.000662996,0.000662996,0.000662996
73,954.932,0.67501,1.06098,0.94166,0.90722,0.72807,0.74622,0.6535,1.21585,1.91134,0.93756,0.000659358,0.000659358,0.000659358
74,967.026,0.66115,1.03194,0.94181,0.90151,0.73298,0.7473,0.65036,1.24161,1.9096,0.94602,0.000655682,0.000655682,0.000655682
75,979.84,0.66444,1.03905,0.94017,0.8975,0.73461,0.74519,0.65129,1.2194,1.90605,0.94263,0.000651969,0.000651969,0.000651969
76,993.549,0.64165,1.00344,0.93082,0.89904,0.72024,0.74324,0.64979,1.24544,1.88182,0.94627,0.000648221,0.000648221,0.000648221
77,1005.37,0.65406,1.02381,0.93347,0.91371,0.73438,0.74734,0.64838,1.23105,1.89767,0.94955,0.000644436,0.000644436,0.000644436
78,1018.38,0.65881,1.03353,0.94005,0.93109,0.72192,0.74562,0.64865,1.24215,1.89587,0.94995,0.000640617,0.000640617,0.000640617
79,1030.82,0.64285,1.00719,0.93369,0.88286,0.73723,0.74779,0.65363,1.22814,1.89108,0.95186,0.000636763,0.000636763,0.000636763
80,1045.3,0.6432,1.00163,0.93538,0.89568,0.73784,0.75164,0.6593,1.20334,1.85113,0.93588,0.000632875,0.000632875,0.000632875
81,1056.85,0.64501,1.00141,0.93258,0.91808,0.73302,0.74816,0.65146,1.24613,1.90821,0.94732,0.000628954,0.000628954,0.000628954
82,1069.81,0.64291,0.98348,0.9357,0.90768,0.73577,0.75324,0.65798,1.22087,1.80732,0.94138,0.000624999,0.000624999,0.000624999
83,1082.39,0.64106,1.01002,0.93451,0.91966,0.72877,0.74897,0.65443,1.23449,1.90067,0.94899,0.000621013,0.000621013,0.000621013
84,1096.66,0.65837,1.01197,0.93506,0.91539,0.72852,0.75176,0.65849,1.20157,1.83015,0.94382,0.000616995,0.000616995,0.000616995
85,1109.04,0.64041,0.99342,0.93528,0.91065,0.73372,0.75012,0.65648,1.20877,1.86644,0.93568,0.000612946,0.000612946,0.000612946
86,1122.51,0.63598,1.00702,0.92871,0.9066,0.73576,0.74901,0.65447,1.21688,1.88901,0.94798,0.000608866,0.000608866,0.000608866
87,1135.48,0.62954,0.97412,0.93292,0.92026,0.73551,0.75158,0.6614,1.20877,1.88737,0.94823,0.000604756,0.000604756,0.000604756
88,1150.44,0.63688,0.98715,0.92542,0.89939,0.74288,0.75205,0.66253,1.18612,1.84441,0.92964,0.000600617,0.000600617,0.000600617
89,1163.06,0.63235,0.98854,0.92209,0.92792,0.73157,0.74953,0.65157,1.22199,1.87248,0.93925,0.000596449,0.000596449,0.000596449
90,1176.6,0.63514,0.96604,0.93045,0.92167,0.73147,0.75072,0.65579,1.21191,1.8427,0.94021,0.000592254,0.000592254,0.000592254
91,1189.77,0.634,0.98026,0.92577,0.92878,0.73213,0.74811,0.65789,1.21377,1.85233,0.94372,0.00058803,0.00058803,0.00058803
92,1203.9,0.63085,0.98386,0.93159,0.90977,0.72641,0.74726,0.65629,1.21083,1.84067,0.95052,0.00058378,0.00058378,0.00058378
93,1217.9,0.63391,0.97166,0.9256,0.90579,0.7321,0.74746,0.65527,1.23228,1.89375,0.94945,0.000579504,0.000579504,0.000579504
94,1231.03,0.62561,0.95627,0.92469,0.9245,0.73603,0.75518,0.66368,1.19606,1.83933,0.93634,0.000575202,0.000575202,0.000575202
95,1245.06,0.62642,0.96874,0.93463,0.92135,0.73069,0.75075,0.65815,1.21474,1.86177,0.94908,0.000570875,0.000570875,0.000570875
96,1258.9,0.62909,0.96241,0.92777,0.91277,0.73204,0.75311,0.65907,1.20187,1.87216,0.93342,0.000566523,0.000566523,0.000566523
97,1271.26,0.62337,0.9559,0.92531,0.89776,0.74248,0.75308,0.65834,1.22175,1.85981,0.94304,0.000562148,0.000562148,0.000562148
98,1285.87,0.6396,0.972,0.92419,0.92065,0.73442,0.74804,0.65711,1.23843,1.90479,0.93656,0.00055775,0.00055775,0.00055775
99,1300.26,0.6225,0.94227,0.92169,0.92136,0.73,0.74979,0.65441,1.1896,1.93288,0.93495,0.00055333,0.00055333,0.00055333
100,1314.28,0.63665,0.98385,0.93614,0.91102,0.73348,0.7505,0.65986,1.18674,1.82845,0.93595,0.000548887,0.000548887,0.000548887
101,1327.41,0.62105,0.95582,0.925,0.93192,0.73194,0.75306,0.66195,1.20155,1.86253,0.93793,0.000544424,0.000544424,0.000544424
102,1341.22,0.61431,0.94405,0.92255,0.91673,0.73392,0.75108,0.65716,1.20682,1.83486,0.93457,0.000539939,0.000539939,0.000539939
103,1353.98,0.6223,0.95808,0.92673,0.90947,0.73537,0.74958,0.65952,1.18279,1.84415,0.93115,0.000535436,0.000535436,0.000535436
104,1367.71,0.62247,0.95813,0.924,0.92996,0.7261,0.75107,0.66199,1.18768,1.84295,0.93323,0.000530912,0.000530912,0.000530912
105,1380.9,0.61795,0.95123,0.92381,0.91079,0.7339,0.7521,0.66124,1.21345,1.85699,0.94297,0.000526371,0.000526371,0.000526371
106,1394.5,0.61823,0.95066,0.91956,0.93207,0.73239,0.75285,0.66266,1.21896,1.82303,0.94244,0.000521811,0.000521811,0.000521811
107,1408.48,0.62091,0.93796,0.92369,0.93097,0.73168,0.75231,0.6608,1.2031,1.83224,0.93276,0.000517234,0.000517234,0.000517234
108,1421.85,0.62171,0.95307,0.93033,0.90529,0.7356,0.75191,0.65829,1.20174,1.82822,0.93383,0.000512641,0.000512641,0.000512641
109,1433.9,0.60773,0.92351,0.91482,0.90272,0.73563,0.75189,0.66124,1.20215,1.82057,0.93754,0.000508032,0.000508032,0.000508032
110,1448.02,0.62148,0.94638,0.92107,0.91173,0.73389,0.75308,0.65856,1.19654,1.82195,0.93684,0.000503408,0.000503408,0.000503408
111,1462.06,0.6154,0.94261,0.92017,0.90551,0.74261,0.75613,0.66245,1.18089,1.80431,0.93096,0.000498769,0.000498769,0.000498769
112,1476.18,0.60556,0.92815,0.91764,0.9351,0.73137,0.75458,0.66303,1.18004,1.78159,0.93374,0.000494116,0.000494116,0.000494116
113,1488.97,0.61532,0.92968,0.92042,0.91714,0.73523,0.75528,0.65716,1.19181,1.82257,0.93177,0.000489451,0.000489451,0.000489451
114,1502.84,0.60682,0.92354,0.91585,0.93293,0.7285,0.75234,0.66084,1.18407,1.75747,0.92688,0.000484772,0.000484772,0.000484772
115,1516.49,0.60922,0.92748,0.92046,0.92516,0.73537,0.75626,0.66669,1.17839,1.78993,0.9263,0.000480082,0.000480082,0.000480082
116,1530.8,0.61715,0.92616,0.91606,0.91817,0.73418,0.75336,0.6604,1.17523,1.81403,0.93126,0.000475381,0.000475381,0.000475381
117,1543.94,0.59203,0.89132,0.9126,0.93851,0.73418,0.75622,0.66598,1.17571,1.79987,0.92698,0.000470669,0.000470669,0.000470669
118,1557.47,0.61755,0.93096,0.92384,0.92173,0.73574,0.75341,0.66323,1.19407,1.81969,0.93019,0.000465948,0.000465948,0.000465948
119,1570.65,0.61121,0.92051,0.92286,0.9108,0.73826,0.75265,0.66251,1.19358,1.84834,0.93337,0.000461218,0.000461218,0.000461218
120,1583.96,0.6033,0.91732,0.91945,0.91988,0.74485,0.75507,0.66635,1.16546,1.78355,0.92775,0.000456479,0.000456479,0.000456479
121,1597.33,0.60204,0.9078,0.91503,0.89581,0.74485,0.75432,0.66316,1.18816,1.78863,0.9315,0.000451733,0.000451733,0.000451733
122,1611.81,0.59208,0.89772,0.90679,0.91324,0.74061,0.75128,0.66329,1.1766,1.82755,0.92917,0.000446979,0.000446979,0.000446979
123,1625.32,0.60014,0.91138,0.91597,0.92766,0.73814,0.75607,0.66631,1.20729,1.80888,0.93179,0.00044222,0.00044222,0.00044222
124,1639.13,0.59507,0.89332,0.91472,0.90485,0.74243,0.75421,0.66707,1.16914,1.77675,0.92618,0.000437454,0.000437454,0.000437454
125,1651.99,0.60917,0.91828,0.91505,0.90068,0.74551,0.75374,0.6638,1.18797,1.82948,0.9302,0.000432684,0.000432684,0.000432684
126,1665.94,0.5818,0.8829,0.91071,0.89699,0.74498,0.75233,0.66449,1.18712,1.80715,0.93324,0.00042791,0.00042791,0.00042791
127,1679.05,0.61096,0.91416,0.91336,0.90684,0.73919,0.75532,0.6641,1.1848,1.8096,0.93609,0.000423132,0.000423132,0.000423132
128,1691.09,0.59665,0.9095,0.91506,0.91191,0.74032,0.75359,0.66665,1.16915,1.79636,0.92791,0.000418352,0.000418352,0.000418352
129,1704.24,0.60035,0.90739,0.91597,0.90963,0.74,0.75478,0.66899,1.17082,1.77459,0.92564,0.000413569,0.000413569,0.000413569
