epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5451,1.2723,6.29479,0.01182,0.64467,0.52499,0.56685,0.48067,1.69259,4.26838,0.01098,0.000264444,0.000264444,0.00695889
2,41.3277,1.27652,3.63734,0.01104,0.68838,0.60857,0.63138,0.52136,1.65213,3.31255,0.01072,0.000531084,0.000531084,0.0038922
3,53.8047,1.3189,3.23467,0.01148,0.70008,0.63184,0.64838,0.52895,1.68257,3.24978,0.01164,0.000797617,0.000797617,0.000825395
4,69.1663,1.26097,2.89853,0.01099,0.71588,0.61476,0.64115,0.53196,1.70948,3.47973,0.01125,0.000799637,0.000799637,0.000799637
5,81.3296,1.24168,2.76807,0.01042,0.74874,0.66756,0.67681,0.57,1.56709,3.02528,0.00991,0.000799354,0.000799354,0.000799354
6,94.2087,1.22224,2.60957,0.01004,0.80076,0.6594,0.69171,0.58342,1.53965,2.78795,0.00977,0.000798991,0.000798991,0.000798991
7,109.988,1.25529,2.53711,0.01032,0.79354,0.66007,0.69261,0.57429,1.64374,2.85458,0.01021,0.000798547,0.000798547,0.000798547
8,123.266,1.21031,2.40457,0.01001,0.80235,0.66505,0.70092,0.60062,1.60869,2.62285,0.00979,0.000798023,0.000798023,0.000798023
9,136.796,1.19955,2.35497,0.00968,0.78213,0.67242,0.69618,0.5915,1.63703,2.97261,0.00978,0.000797419,0.000797419,0.000797419
10,150.382,1.20926,2.2737,0.00989,0.81,0.68075,0.71819,0.60433,1.57003,2.53827,0.00993,0.000796734,0.000796734,0.000796734
11,164.544,1.21076,2.33445,0.00965,0.83778,0.67258,0.71524,0.60877,1.59536,2.63204,0.00989,0.000795969,0.000795969,0.000795969
12,178.271,1.20208,2.222,0.00948,0.83278,0.69526,0.72473,0.61669,1.55517,2.53378,0.00943,0.000795125,0.000795125,0.000795125
13,193.219,1.19892,2.16884,0.00952,0.84046,0.69209,0.72535,0.62351,1.54113,2.44683,0.00924,0.0007942,0.0007942,0.0007942
14,205.202,1.19903,2.12486,0.00944,0.84688,0.6969,0.72577,0.61691,1.56851,2.50433,0.00972,0.000793196,0.000793196,0.000793196
15,218.736,1.17766,2.08388,0.00919,0.77958,0.68764,0.70222,0.60717,1.55242,2.79083,0.00962,0.000792113,0.000792113,0.000792113
16,232.002,1.17196,2.11777,0.00902,0.83101,0.68974,0.72006,0.60946,1.59321,2.58461,0.00957,0.00079095,0.00079095,0.00079095
17,245.532,1.16757,2.08832,0.00914,0.82697,0.68352,0.70738,0.60504,1.59578,2.68142,0.0096,0.000789709,0.000789709,0.000789709
18,260.216,1.18261,2.12945,0.00925,0.8305,0.71226,0.73199,0.62284,1.53684,2.46034,0.0091,0.000788389,0.000788389,0.000788389
19,272.719,1.18309,2.05908,0.00917,0.84438,0.6968,0.72542,0.63005,1.52707,2.41939,0.00913,0.00078699,0.00078699,0.00078699
20,286.744,1.15279,2.00007,0.009,0.87558,0.70276,0.73192,0.6193,1.632,2.45247,0.00975,0.000785514,0.000785514,0.000785514
21,300.017,1.17248,2.02997,0.00901,0.8483,0.69986,0.72489,0.62498,1.52667,2.4834,0.00925,0.000783959,0.000783959,0.000783959
22,314.05,1.16223,2.00255,0.00909,0.82779,0.70067,0.72207,0.61311,1.61144,2.65084,0.00921,0.000782327,0.000782327,0.000782327
23,327.671,1.14954,1.99322,0.00878,0.86219,0.70702,0.73631,0.63667,1.51286,2.354,0.00896,0.000780618,0.000780618,0.000780618
24,340.458,1.13768,1.90779,0.0089,0.87429,0.70782,0.7406,0.6294,1.52537,2.34896,0.00906,0.000778833,0.000778833,0.000778833
25,354.121,1.13152,1.94053,0.00853,0.86678,0.7091,0.73929,0.63956,1.52237,2.70296,0.00898,0.00077697,0.00077697,0.00077697
26,368.138,1.12301,1.89552,0.00848,0.87578,0.69744,0.73691,0.63351,1.52115,2.40014,0.00914,0.000775032,0.000775032,0.000775032
27,380.639,1.16065,1.97198,0.00888,0.87172,0.69922,0.73028,0.62963,1.53686,2.41839,0.00904,0.000773018,0.000773018,0.000773018
28,394.537,1.1322,1.9154,0.00861,0.85456,0.70255,0.7338,0.62811,1.55873,2.50619,0.00907,0.000770929,0.000770929,0.000770929
29,408.577,1.14375,1.91523,0.00857,0.89133,0.68799,0.73619,0.6272,1.55434,2.50252,0.00952,0.000768765,0.000768765,0.000768765
30,421.647,1.15624,1.92469,0.00885,0.87987,0.70251,0.73682,0.62391,1.57353,2.51565,0.00952,0.000766527,0.000766527,0.000766527
31,434.493,1.1301,1.8372,0.00858,0.84663,0.7189,0.73977,0.64189,1.54489,2.37349,0.00874,0.000764214,0.000764214,0.000764214
32,448.174,1.14908,1.8983,0.0086,0.84219,0.71189,0.73336,0.63013,1.51495,2.49175,0.00831,0.000761829,0.000761829,0.000761829
33,461.15,1.12874,1.8914,0.00828,0.88607,0.71358,0.74059,0.64286,1.51677,2.42269,0.00858,0.00075937,0.00075937,0.00075937
34,475.259,1.11546,1.845,0.00839,0.86302,0.7173,0.73951,0.63073,1.5176,2.34315,0.00895,0.000756839,0.000756839,0.000756839
35,488.746,1.12487,1.84159,0.00826,0.89372,0.71107,0.74257,0.64014,1.50641,2.39522,0.00895,0.000754235,0.000754235,0.000754235
36,502.975,1.10105,1.78026,0.00839,0.85742,0.71837,0.74101,0.64234,1.49772,2.3527,0.00841,0.000751561,0.000751561,0.000751561
37,516.526,1.10612,1.78387,0.00822,0.90203,0.70568,0.74337,0.64387,1.51853,2.29844,0.00859,0.000748815,0.000748815,0.000748815
38,529.773,1.10347,1.82058,0.00803,0.89806,0.70462,0.74117,0.64859,1.43963,2.27753,0.00832,0.000746,0.000746,0.000746
