"host_time_iso","model_family","model_variant","hyperparameters","dataset","format","resolution","ap_50"
"2026-03-31T16:03:59.548325+00:00","ssdlite_mobilenetv1_pt","ssdlite_mobilenetv1_pt_coco_300","","COCO-80","Int8","300","26.3"
"2026-03-31T16:03:59.548345+00:00","ssdlite_mobilenetv1_pt","ssdlite_mobilenetv1_pt_coco_person_300","","COCO-Person","Int8","300","40.6"
"2026-03-31T16:03:59.548355+00:00","ssdlite_mobilenetv2_pt","ssdlite_mobilenetv2_pt_coco_300","","COCO-80","Int8","300","28.6"
"2026-03-31T16:03:59.548362+00:00","ssdlite_mobilenetv2_pt","ssdlite_mobilenetv2_pt_coco_person_300","","COCO-Person","Int8","300","39.7"
"2026-03-31T16:03:59.548368+00:00","ssdlite_mobilenetv3large_pt","ssdlite_mobilenetv3large_pt_coco_300","","COCO-80","Int8","300","27.3"
"2026-03-31T16:03:59.548376+00:00","ssdlite_mobilenetv3large_pt","ssdlite_mobilenetv3large_pt_coco_person_300","","COCO-Person","Int8","300","38.6"
"2026-03-31T16:03:59.548385+00:00","ssdlite_mobilenetv3small_pt","ssdlite_mobilenetv3small_pt_coco_300","","COCO-80","Int8","300","19.2"
"2026-03-31T16:03:59.548391+00:00","ssdlite_mobilenetv3small_pt","ssdlite_mobilenetv3small_pt_coco_person_300","","COCO-Person","Int8","300","32.0"
"2026-03-31T16:03:59.548397+00:00","st_yolodv2milli_pt","st_yolodv2milli_actrelu_pt_coco_320","actrelu","COCO-80","Int8","320","44.2"
"2026-03-31T16:03:59.548404+00:00","st_yolodv2milli_pt","st_yolodv2milli_actrelu_pt_coco_person_192","actrelu","COCO-Person","Int8","192","60.6"
"2026-03-31T16:03:59.548410+00:00","st_yolodv2milli_pt","st_yolodv2milli_actrelu_pt_coco_person_256","actrelu","COCO-Person","Int8","256","67.1"
"2026-03-31T16:03:59.548416+00:00","st_yolodv2milli_pt","st_yolodv2milli_actrelu_pt_coco_person_320","actrelu","COCO-Person","Int8","320","71.5"
"2026-03-31T16:03:59.548422+00:00","st_yolodv2tiny_pt","st_yolodv2tiny_actrelu_pt_coco_192","actrelu","COCO-80","Int8","192","36.1"
"2026-03-31T16:03:59.548427+00:00","st_yolodv2tiny_pt","st_yolodv2tiny_actrelu_pt_coco_288","actrelu","COCO-80","Int8","288","44.8"
"2026-03-31T16:03:59.548432+00:00","st_yolodv2tiny_pt","st_yolodv2tiny_actrelu_pt_coco_person_192","actrelu","COCO-Person","Int8","192","62.3"
"2026-03-31T16:03:59.548438+00:00","st_yolodv2tiny_pt","st_yolodv2tiny_actrelu_pt_coco_person_256","actrelu","COCO-Person","Int8","256","68.7"
"2026-03-31T16:03:59.548442+00:00","st_yolodv2tiny_pt","st_yolodv2tiny_actrelu_pt_coco_person_288","actrelu","COCO-Person","Int8","288","70.8"
"2026-03-31T16:03:59.548483+00:00","st_yoloxn","st_yoloxn_d033_w025_192","d033_w025","COCO-Person","Int8","192","38.6"
"2026-03-31T16:03:59.548489+00:00","st_yoloxn","st_yoloxn_d033_w025_192","d033_w025","COCO-Person","W4A8","192","37.9"
"2026-03-31T16:03:59.548496+00:00","st_yoloxn","st_yoloxn_d033_w025_256","d033_w025","COCO-Person","Int8","256","45.7"
"2026-03-31T16:03:59.548501+00:00","st_yoloxn","st_yoloxn_d033_w025_256","d033_w025","COCO-Person","W4A8","256","45.1"
"2026-03-31T16:03:59.548507+00:00","st_yoloxn","st_yoloxn_d033_w025_320","d033_w025","COCO-Person","Int8","320","51.9"
"2026-03-31T16:03:59.548511+00:00","st_yoloxn","st_yoloxn_d033_w025_320","d033_w025","COCO-Person","W4A8","320","51.2"
"2026-03-31T16:03:59.548517+00:00","st_yoloxn","st_yoloxn_d033_w025_416","d033_w025","COCO-Person","Int8","416","55.8"
"2026-03-31T16:03:59.548523+00:00","st_yoloxn","st_yoloxn_d033_w025_416","d033_w025","COCO-Person","W4A8","416","54.8"
"2026-03-31T16:03:59.548529+00:00","st_yoloxn","st_yoloxn_d050_w040_256","d050_w040","COCO-Person","Int8","256","50.7"
"2026-03-31T16:03:59.548536+00:00","st_yoloxn","st_yoloxn_d050_w040_256","d050_w040","COCO-Person","W4A8","256","49.8"
