"host_time_iso","stedgeai_version","model_family","model_variant","hyperparameters","dataset","format","resolution","internal_ram_kib","external_ram_kib","weights_flash_kib","input_buffer_kib","output_buffer_kib","generated_model_dir"
"2026-03-31T17:22:36.418755+00:00","4.0.0","ssdlite_mobilenetv1_pt","ssdlite_mobilenetv1_pt_coco_300","","COCO-80","Int8","300","2373.05","0.00","5498.44","263.67","249.02","network/ssdlite_mobilenetv1_pt_coco_300__int8"
"2026-03-31T17:22:51.039240+00:00","4.0.0","ssdlite_mobilenetv1_pt","ssdlite_mobilenetv1_pt_coco_person_300","","COCO-Person","Int8","300","2373.05","0.00","4194.94","263.67","17.58","network/ssdlite_mobilenetv1_pt_coco_person_300__int8"
"2026-03-31T17:23:08.066174+00:00","4.0.0","ssdlite_mobilenetv2_pt","ssdlite_mobilenetv2_pt_coco_300","","COCO-80","Int8","300","2408.59","2109.38","5121.38","263.67","249.02","network/ssdlite_mobilenetv2_pt_coco_300__int8"
"2026-03-31T17:23:23.129905+00:00","4.0.0","ssdlite_mobilenetv2_pt","ssdlite_mobilenetv2_pt_coco_person_300","","COCO-Person","Int8","300","2374.34","2109.38","3758.63","263.67","17.58","network/ssdlite_mobilenetv2_pt_coco_person_300__int8"
"2026-03-31T17:23:44.997996+00:00","4.0.0","ssdlite_mobilenetv3large_pt","ssdlite_mobilenetv3large_pt_coco_300","","COCO-80","Int8","300","2484.27","0.00","3592.83","263.67","249.02","network/ssdlite_mobilenetv3large_pt_coco_300__int8"
"2026-03-31T17:24:04.783801+00:00","4.0.0","ssdlite_mobilenetv3large_pt","ssdlite_mobilenetv3large_pt_coco_person_300","","COCO-Person","Int8","300","2247.37","0.00","2592.98","263.67","17.58","network/ssdlite_mobilenetv3large_pt_coco_person_300__int8"
"2026-03-31T17:24:22.651689+00:00","4.0.0","ssdlite_mobilenetv3small_pt","ssdlite_mobilenetv3small_pt_coco_300","","COCO-80","Int8","300","1763.09","0.00","1978.72","263.67","249.02","network/ssdlite_mobilenetv3small_pt_coco_300__int8"
"2026-03-31T17:24:40.083883+00:00","4.0.0","ssdlite_mobilenetv3small_pt","ssdlite_mobilenetv3small_pt_coco_person_300","","COCO-Person","Int8","300","1764.33","0.00","1186.25","263.67","17.58","network/ssdlite_mobilenetv3small_pt_coco_person_300__int8"
"2026-03-31T17:24:59.213514+00:00","4.0.0","st_yolodv2milli_pt","st_yolodv2milli_actrelu_pt_coco_192","actrelu","COCO-80","Int8","192","1008.00","0.00","3170.29","108.00","62.75","network/st_yolodv2milli_actrelu_pt_coco_192__int8"
"2026-03-31T17:25:18.254029+00:00","4.0.0","st_yolodv2milli_pt","st_yolodv2milli_actrelu_pt_coco_320","actrelu","COCO-80","Int8","320","2496.00","800.00","3182.67","300.00","174.32","network/st_yolodv2milli_actrelu_pt_coco_320__int8"
